phase	readiness	terminal	observed_at_ms	detected_at_ms	transition_latency_ms	client_started_at_ms	client_elapsed_ms	lifecycle	restarts	peer_result
before	pass	Stable	1788977745795	1788977746154	359	1788977746174	2453	Running	0	exact-reply
during	fail	Stable	1788977754820	1788977755042	222	1788977755064	3567	Running	0	unreachable-no-exact-reply
after	pass	Stable	1788977764847	1788977765046	199	1788977765067	2450	Running	0	exact-reply
