phase	readiness	terminal	observed_at_ms	detected_at_ms	transition_latency_ms	client_started_at_ms	client_elapsed_ms	lifecycle	restarts	peer_result
before	pass	Stable	1789174055103	1789174055437	334	1789174055450	2451	Running	0	exact-reply
during	fail	Stable	1789174064126	1789174064312	186	1789174064337	3566	Running	0	unreachable-no-exact-reply
after	pass	Stable	1789174074152	1789174074309	157	1789174074328	2453	Running	0	exact-reply
