trial	healthy_deploy	healthy_terminal	healthy_target	healthy_peer	failure_deploy	failure_terminal	failure_target	failure_peer	cleanup
65	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
66	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
67	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
68	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
69	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
70	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
71	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
72	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
73	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
74	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
75	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
76	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
77	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
78	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
79	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
80	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
81	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
82	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
83	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
84	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
85	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
86	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
87	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
88	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
