driver	status	deploy_exit	allocation_id	before_stop	restart_before	failure_surface	after_stop	restart_after	settled_state	trajectory	probe_result	stdout_bytes	stderr_bytes	describe_bytes	sentinel_deploy_stdout	sentinel_deploy_stderr	sentinel_describe	sentinel_probe	cleanup
exec	204	0	alloc-service-exec-http-204-0	Running	0	none	Terminated	0	Terminated	operator-stop-running	status-204	403	0	855	0	0	0	0	named-absent
exec	302	1	alloc-service-exec-http-302-0	Running	1	deploy-exit-1+prior-failed+probe	Terminated	1	Terminated	recovered-running-operator-stop	status-302	268	0	988	0	0	0	0	named-absent
exec	404	1	alloc-service-exec-http-404-0	Running	1	deploy-exit-1+prior-failed+probe	Terminated	1	Terminated	recovered-running-operator-stop	status-404	244	0	964	0	0	0	0	named-absent
exec	503	1	alloc-service-exec-http-503-0	Running	1	deploy-exit-1+prior-failed+probe	Terminated	1	Terminated	recovered-running-operator-stop	status-503	244	0	964	0	0	0	0	named-absent
vm	204	0	alloc-service-vm-http-204-0	Running	0	none	Terminated	0	Terminated	operator-stop-running	status-204	395	0	848	0	0	0	0	named-absent
vm	302	1	alloc-service-vm-http-302-0	Running	1	deploy-exit-1+prior-failed+probe	Terminated	1	Terminated	recovered-running-operator-stop	status-302	264	0	1135	0	0	0	0	named-absent
vm	404	1	alloc-service-vm-http-404-0	Running	1	deploy-exit-1+prior-failed+probe	Terminated	1	Terminated	recovered-running-operator-stop	status-404	240	0	1111	0	0	0	0	named-absent
vm	503	1	alloc-service-vm-http-503-0	Running	1	deploy-exit-1+prior-failed+probe	Terminated	1	Terminated	recovered-running-operator-stop	status-503	240	0	1111	0	0	0	0	named-absent
